epoch,loss,ce_loss,physics_loss,model
1,1.045427175129161,1.045427175129161,0.3293921631925246,Standard NN
2,0.922571971135981,0.922571971135981,0.3320263869622174,Standard NN
3,0.8138484113356647,0.8138484113356647,0.34026178892921,Standard NN
4,0.7117894537308637,0.7117894537308637,0.3603864662787494,Standard NN
5,0.624918239958146,0.624918239958146,0.38381491338505463,Standard NN
6,0.5450799815795001,0.5450799815795001,0.4128478537587559,Standard NN
7,0.4900842466775109,0.4900842466775109,0.44398830743396983,Standard NN
8,0.4468082960914163,0.4468082960914163,0.47394319141612334,Standard NN
9,0.4070308401304133,0.4070308401304133,0.48243313677170696,Standard NN
10,0.3743848064366509,0.3743848064366509,0.46475155914531036,Standard NN
11,0.36463547103545246,0.36463547103545246,0.461190765394884,Standard NN
12,0.35512394063612995,0.35512394063612995,0.47600846080219045,Standard NN
13,0.34404371766483083,0.34404371766483083,0.4781005785745733,Standard NN
14,0.3403187797350042,0.3403187797350042,0.4768325861762552,Standard NN
15,0.3283703914460014,0.3283703914460014,0.45509178848827586,Standard NN
16,0.33035553904140696,0.33035553904140696,0.4824250112561619,Standard NN
17,0.329031344722299,0.329031344722299,0.4817974882967332,Standard NN
18,0.3247218412511489,0.3247218412511489,0.4621781251009773,Standard NN
19,0.3285803654614617,0.3285803654614617,0.4829478859901428,Standard NN
20,0.33337946849710803,0.33337946849710803,0.471176671631196,Standard NN
21,0.3147403440054725,0.3147403440054725,0.47987738952917214,Standard NN
22,0.31102529913187027,0.31102529913187027,0.4635857028119704,Standard NN
23,0.29686648705426383,0.29686648705426383,0.4543798127595116,Standard NN
24,0.31297316796639385,0.31297316796639385,0.5017620535457835,Standard NN
25,0.3127698354861316,0.3127698354861316,0.48773734359180226,Standard NN
26,0.303596795481794,0.303596795481794,0.4781838795718025,Standard NN
27,0.29861076088512645,0.29861076088512645,0.4756120636182673,Standard NN
28,0.3017575530444874,0.3017575530444874,0.4747640981393702,Standard NN
29,0.28929752637358275,0.28929752637358275,0.47751299773945527,Standard NN
30,0.30197395647273345,0.30197395647273345,0.49250391125679016,Standard NN
31,0.29483454455347624,0.29483454455347624,0.4590521875549765,Standard NN
32,0.2921072542667389,0.2921072542667389,0.5223772543318131,Standard NN
