tag,true_label,cp_prediction,prediction_set,final_decision,fault_evidence,slow_gate_open,transient_gate_open,max_E_bar,transient_score
20260301_204447_w50_lp2_seed2_ld_mismatch_p10,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.0144424138694035,-3.2084691531199008
20260301_204447_w50_lp2_seed2_ld_mismatch_p20,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.0144424138694035,-3.2084691531199008
20260301_204447_w60_lp2_seed0_healthy_r0,healthy,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.156414140691977,-3.1742521448269336
20260301_204447_w60_lp2_seed0_healthy_r1,healthy,healthy,healthy,healthy,0,0,0,3.8025960039456614,-3.2526032732794823
20260301_204447_w60_lp2_seed0_healthy_r2,healthy,healthy,healthy,healthy,0,0,0,3.8465221209282525,-3.238901444789734
20260301_204447_w60_lp2_seed0_rs_drift_p02,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,281.9235782241089,-0.16505027353868235
20260301_204447_w60_lp2_seed0_rs_drift_p05,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,1741.5684048127387,2.9799851093847405
20260301_204447_w60_lp2_seed0_rs_drift_p08,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,4454.467735258144,4.774769870290294
20260301_204447_w60_lp2_seed0_rs_drift_p10,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,6957.845178447198,5.641697434024037
20260301_204447_w60_lp2_seed0_rs_drift_p15,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,15644.711665791418,7.2258539556849914
20260301_204447_w60_lp2_seed0_rs_drift_p20,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,27794.991742174352,8.35060266581919
20260301_204447_w60_lp2_seed0_rs_drift_p30,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,62456.33523810428,9.929510694587075
20260301_204447_w60_lp2_seed0_rs_drift_p40,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,110884.46040249117,11.041352210715875
20260301_204447_w60_lp2_seed0_ld_mismatch_m20,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.156414140691977,-3.1742521448269336
20260301_204447_w60_lp2_seed0_ld_mismatch_m10,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.156414140691977,-3.1742521448269336
20260301_204447_w60_lp2_seed0_ld_mismatch_m05,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.156414140691977,-3.1742521448269336
20260301_204447_w60_lp2_seed0_ld_mismatch_p05,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.156414140691977,-3.1742521448269336
20260301_204447_w60_lp2_seed0_ld_mismatch_p10,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.156414140691977,-3.1742521448269336
20260301_204447_w60_lp2_seed0_ld_mismatch_p20,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.156414140691977,-3.1742521448269336
