tag,true_label,cp_prediction,prediction_set,max_probability,final_decision,fault_evidence,slow_gate_open,transient_gate_open,max_E_bar,transient_score,split_seed
20260301_204447_w60_lp1_seed0_ld_mismatch_p05,ld_mismatch,ld_mismatch,ld_mismatch,0.7559813382845492,uncertain,0,0,0,4.156414140692143,-3.1742521448269336,1
20260301_204447_w60_lp1_seed0_ld_mismatch_p10,ld_mismatch,ld_mismatch,ld_mismatch,0.7559813382845492,uncertain,0,0,0,4.156414140692143,-3.1742521448269336,1
20260301_204447_w60_lp1_seed0_ld_mismatch_p20,ld_mismatch,ld_mismatch,ld_mismatch,0.7559813382845492,uncertain,0,0,0,4.156414140692143,-3.1742521448269336,1
20260301_204447_w60_lp1_seed1_healthy_r0,healthy,ld_mismatch,ld_mismatch,0.7540129467581489,uncertain,0,0,0,3.96058742593351,-3.1808071399751663,1
20260301_204447_w60_lp1_seed1_healthy_r1,healthy,healthy,healthy,1.0,healthy,0,0,0,3.8793202653655325,-3.192241776158226,1
20260301_204447_w60_lp1_seed1_healthy_r2,healthy,healthy,healthy,0.997989417989418,healthy,1,1,0,3.977925783977968,-3.1392347687831608,1
20260301_204447_w60_lp1_seed1_rs_drift_p02,rs_drift,rs_drift,rs_drift,0.9828571428571429,rs_drift,1,1,1,186.45801965760504,-1.1273930640216445,1
20260301_204447_w60_lp1_seed1_rs_drift_p05,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,1132.2719873806066,1.6755908393470167,1
20260301_204447_w60_lp1_seed1_rs_drift_p08,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,2884.191836723762,3.4059583839367518,1
20260301_204447_w60_lp1_seed1_rs_drift_p10,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,4500.399305769473,4.257070151835859,1
20260301_204447_w60_lp1_seed1_rs_drift_p15,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,10111.857505736763,5.826055969173652,1
20260301_204447_w60_lp1_seed1_rs_drift_p20,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,17971.05377906105,6.9464237662027255,1
20260301_204447_w60_lp1_seed1_rs_drift_p30,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,40451.317850865154,8.524109184015153,1
20260301_204447_w60_lp1_seed1_rs_drift_p40,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,71987.49483368694,9.637269402813455,1
20260301_204447_w60_lp1_seed1_ld_mismatch_m20,ld_mismatch,ld_mismatch,ld_mismatch,0.7540129467581489,uncertain,0,0,0,3.96058742593351,-3.1808071399751663,1
20260301_204447_w60_lp1_seed1_ld_mismatch_m10,ld_mismatch,ld_mismatch,ld_mismatch,0.7540129467581489,uncertain,0,0,0,3.96058742593351,-3.1808071399751663,1
