Method,Accuracy,Macro-F1,Macro-Precision,Macro-Recall,FAR,MDR,Physics Consistency MSE,Physics Consistency Corr,Lambda Phys
RF physics-guided,0.9411764705882353,0.9076923076923077,0.9523809523809524,0.8888888888888888,0.3333333333333333,0.0,,,
Standard NN,0.9411764705882353,0.9076923076923077,0.9523809523809524,0.8888888888888888,0.3333333333333333,0.0,0.5242800116539001,0.3423487607930845,0.0
Physics-informed NN,0.9411764705882353,0.9076923076923077,0.9523809523809524,0.8888888888888888,0.3333333333333333,0.0,0.48909011483192444,0.38554053329757787,0.2
