split_seed,n_train,n_calibration,n_test,baseline_accuracy,baseline_macro_f1,baseline_far,baseline_mdr,coverage,avg_set_size,qhat,full_far,full_mdr,full_overall_uncertain,full_healthy_uncertain,full_hard_fault_detection,full_uncertain_fault_rate,full_accepted_accuracy,full_safe_decision_rate
0,272,85,102,0.9411764705882353,0.9076923076923077,0.3333333333333333,0.0,0.9411764705882353,1.0,0.2468616801268667,0.0,0.0,0.4117647058823529,0.3333333333333333,0.5714285714285714,0.42857142857142855,1.0,1.0
1,272,85,102,0.9411764705882353,0.9076923076923077,0.3333333333333333,0.0,0.9411764705882353,1.0,0.2459870532418511,0.0,0.0,0.4117647058823529,0.3333333333333333,0.5714285714285714,0.42857142857142855,1.0,1.0
2,272,85,102,0.9411764705882353,0.9076923076923077,0.3333333333333333,0.0,0.9411764705882353,1.0,0.2411495455356386,0.0,0.0,0.4117647058823529,0.3333333333333333,0.5714285714285714,0.42857142857142855,1.0,1.0
3,272,85,102,0.9411764705882353,0.9076923076923077,0.3333333333333333,0.0,0.9411764705882353,1.0,0.2503979974666204,0.0,0.0,0.4117647058823529,0.3333333333333333,0.5714285714285714,0.42857142857142855,1.0,1.0
4,272,85,102,0.9411764705882353,0.9076923076923077,0.3333333333333333,0.0,0.9411764705882353,1.0,0.24902031985333017,0.0,0.0,0.4117647058823529,0.3333333333333333,0.5714285714285714,0.42857142857142855,1.0,1.0
