fault_type,n,speed_error_rms_mean,speed_error_rms_std,residual_energy_mean,residual_energy_std,current_residual_energy_mean,current_residual_energy_std,control_effort_rms_mean,control_effort_rms_std,pi_effort_rms_mean,pi_effort_rms_std
healthy,81,5.107402977742517,1.2388669014592144,0.0002995958684003521,2.363494455864723e-06,0.0001993734134419978,1.8962531404406829e-06,10.646078726172684,1.973943528505259,1.4130107495214572,0.09273116930450369
ld_mismatch,162,5.107409767724363,1.2350084637868257,0.00030055734998749186,1.6893265752259497e-06,0.00020074979722632512,6.532131086706915e-07,10.646078726172684,1.9678037203861325,1.4130107495214572,0.09244273573081227
rs_drift,216,5.142424562595493,1.2448594404243718,1.6732478010674687,2.15195215222035,0.013491269725351165,0.01775525159523671,10.8580749969964,1.975219176269627,1.6420444088120314,0.2040419525357927
