Method,Accuracy,Macro-F1,Macro-Precision,Macro-Recall,FAR,MDR,Coverage,Avg Set Size,Uncertain Rate,Accepted Accuracy,Accepted Macro-F1
ML baseline,0.9411764705882353,0.9076923076923077,0.9523809523809524,0.8888888888888888,0.3333333333333333,0.0,,,,,
Physics-guided PIML,0.9411764705882353,0.9076923076923077,0.9523809523809524,0.8888888888888888,0.3333333333333333,0.0,,,,,
PIML + Conformal,,,,,0.3333333333333333,0.0,0.9411764705882353,1.0,0.0,0.9411764705882353,0.9076923076923077
Full framework,,,,,0.0,0.42857142857142855,0.9411764705882353,1.0,0.4117647058823529,1.0,0.6666666666666666
