tag,fault_type,severity,omega_step,load_profile,seed,speed_error_rms,speed_error_mean_abs,speed_error_max_abs,residual_energy_mean,current_residual_energy_mean,r_id_rms,r_iq_rms,r_omega_rms,control_effort_rms,control_effort_mean,pi_effort_rms,pi_effort_mean
20260301_204447_w40_lp0_seed0_ld_mismatch_m20,ld_mismatch,-0.2,40.0,0,0,6.924063488005578,6.414820170916182,9.032290845705074,0.00030087305024487294,0.00020122879765109385,0.01002418497133003,0.01003715663480724,0.009982196781960323,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed0_ld_mismatch_m10,ld_mismatch,-0.1,40.0,0,0,6.924063488005578,6.414820170916182,9.032290845705074,0.00030087305024487294,0.00020122879765109385,0.01002418497133003,0.01003715663480724,0.009982196781960323,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed0_ld_mismatch_m05,ld_mismatch,-0.05,40.0,0,0,6.924063488005578,6.414820170916182,9.032290845705074,0.00030087305024487294,0.00020122879765109385,0.01002418497133003,0.01003715663480724,0.009982196781960323,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed0_ld_mismatch_p05,ld_mismatch,0.05,40.0,0,0,6.924063488005578,6.414820170916182,9.032290845705074,0.00030087305024487294,0.00020122879765109385,0.01002418497133003,0.01003715663480724,0.009982196781960323,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed0_ld_mismatch_p10,ld_mismatch,0.1,40.0,0,0,6.924063488005578,6.414820170916182,9.032290845705074,0.00030087305024487294,0.00020122879765109385,0.01002418497133003,0.01003715663480724,0.009982196781960323,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed0_ld_mismatch_p20,ld_mismatch,0.2,40.0,0,0,6.924063488005578,6.414820170916182,9.032290845705074,0.00030087305024487294,0.00020122879765109385,0.01002418497133003,0.01003715663480724,0.009982196781960323,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed1_healthy_r0,healthy,0.0,40.0,0,1,6.923890043538278,6.4145962426227605,9.04279574570031,0.00030244389760102194,0.00020119147186952043,0.010068445284592773,0.009990889921357453,0.01006242643359451,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed1_healthy_r1,healthy,0.0,40.0,0,1,6.923879841796873,6.414688300496282,9.037351529126557,0.0002991883759621528,0.0001994740603445572,0.010056144627987929,0.009917056799552312,0.00998570556433523,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed1_healthy_r2,healthy,0.0,40.0,0,1,6.923950424283641,6.414707576201596,9.036309483532627,0.00030269693574118335,0.0002002875816315389,0.009952731689825084,0.01006134750129874,0.010119750694046,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed1_rs_drift_p02,rs_drift,0.02,40.0,0,1,6.929910340877801,6.423940218911917,9.044852114971722,0.018406297917904914,0.00032808315995879036,0.011193174378058723,0.014240646309109711,0.1344552518793748,8.232350774726044,8.225812807170687,1.5150703792210614,1.5012587238217279
20260301_204447_w40_lp0_seed1_rs_drift_p05,rs_drift,0.05,40.0,0,1,6.93897978720826,6.437969693296436,9.047949182372069,0.11346336166380643,0.0009911016971609877,0.015837354092024167,0.027208085425564826,0.33536884167531933,8.273170074416651,8.266928539846127,1.5594879306502232,1.5452343982831653
20260301_204447_w40_lp0_seed1_rs_drift_p08,rs_drift,0.08,40.0,0,1,6.948096309515035,6.452015441947531,9.051061446360947,0.2900153166914898,0.0022124234589191074,0.022004553237739772,0.04157190271958433,0.5364726397800457,8.314002615913981,8.308044986532032,1.6039219661643729,1.5892134397032398
20260301_204447_w40_lp0_seed1_rs_drift_p10,rs_drift,0.1,40.0,0,1,6.9542002983095585,6.461388350420478,9.053144833065328,0.4529991155876939,0.0033320516989994507,0.026454592418849926,0.05130503132200563,0.6705721914072298,8.341231624292767,8.335456338693639,1.6335536650779243,1.6185346757260552
20260301_204447_w40_lp0_seed1_rs_drift_p15,rs_drift,0.15,40.0,0,1,6.9695530222282,6.484852540774741,9.05838365542995,1.0189811139270806,0.0071803251306789976,0.03807694408349552,0.07569987754244621,1.0058830890299335,8.409329572084246,8.403986037576487,1.7076639285638662,1.6918443481489513
20260301_204447_w40_lp0_seed1_rs_drift_p20,rs_drift,0.2,40.0,0,1,6.985039411144387,6.508362594018959,9.063666631877545,1.8114829506292742,0.012495556849104791,0.05002410249770789,0.09996572421787182,1.3412633573538677,8.477463573642085,8.472517555310016,1.781817846335091,1.765163456974848
20260301_204447_w40_lp0_seed1_rs_drift_p30,rs_drift,0.3,40.0,0,1,7.016418981065387,6.555521622135673,9.074369106461837,4.076349300249895,0.027380354456259488,0.07431110685585027,0.14784523615631953,2.0122049959667714,8.613838553310957,8.609585731522719,1.9302546464946952,1.9118301444620904
20260301_204447_w40_lp0_seed1_rs_drift_p40,rs_drift,0.4,40.0,0,1,7.048350490631589,6.602868129081716,9.08526065245832,7.24821773323682,0.04771959519865047,0.09886488605500374,0.19479560956033273,2.6833743939372625,8.750354528918447,8.746660248519778,2.0788621508694565,2.0585350484202407
20260301_204447_w40_lp0_seed1_ld_mismatch_m20,ld_mismatch,-0.2,40.0,0,1,6.923890043538278,6.4145962426227605,9.04279574570031,0.00030244389760102194,0.00020119147186952043,0.010068445284592773,0.009990889921357453,0.01006242643359451,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed1_ld_mismatch_m10,ld_mismatch,-0.1,40.0,0,1,6.923890043538278,6.4145962426227605,9.04279574570031,0.00030244389760102194,0.00020119147186952043,0.010068445284592773,0.009990889921357453,0.01006242643359451,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed1_ld_mismatch_m05,ld_mismatch,-0.05,40.0,0,1,6.923890043538278,6.4145962426227605,9.04279574570031,0.00030244389760102194,0.00020119147186952043,0.010068445284592773,0.009990889921357453,0.01006242643359451,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed1_ld_mismatch_p05,ld_mismatch,0.05,40.0,0,1,6.923890043538278,6.4145962426227605,9.04279574570031,0.00030244389760102194,0.00020119147186952043,0.010068445284592773,0.009990889921357453,0.01006242643359451,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed1_ld_mismatch_p10,ld_mismatch,0.1,40.0,0,1,6.923890043538278,6.4145962426227605,9.04279574570031,0.00030244389760102194,0.00020119147186952043,0.010068445284592773,0.009990889921357453,0.01006242643359451,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed1_ld_mismatch_p20,ld_mismatch,0.2,40.0,0,1,6.923890043538278,6.4145962426227605,9.04279574570031,0.00030244389760102194,0.00020119147186952043,0.010068445284592773,0.009990889921357453,0.01006242643359451,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed2_healthy_r0,healthy,0.0,40.0,0,2,6.923824940733171,6.414565523588255,9.038832836241333,0.0002983551021165812,0.000199829122158361,0.01005909396710436,0.009931956036920707,0.009926025385733213,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed2_healthy_r1,healthy,0.0,40.0,0,2,6.923871295421391,6.414606983239793,9.03391612449855,0.0002985587776995008,0.00019887984432799156,0.009989484164300731,0.009954398548339146,0.009983933762375894,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed2_healthy_r2,healthy,0.0,40.0,0,2,6.924013247286344,6.414792786333766,9.036920855335396,0.0003017731992199881,0.00020108888049163434,0.010051899093753982,0.010002409964634636,0.01003415759933806,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed2_rs_drift_p02,rs_drift,0.02,40.0,0,2,6.929845317618508,6.4239094998774116,9.04123672354105,0.01837942795010373,0.0003264647515277583,0.011256818939415481,0.014133250825375431,0.13436131585607508,8.232350774726044,8.225812807170687,1.5150703792210614,1.5012587238217279
20260301_204447_w40_lp0_seed2_rs_drift_p05,rs_drift,0.05,40.0,0,2,6.938914881015866,6.4379389742619315,9.044856565202402,0.11340230209308678,0.0009891465126199842,0.01595925492425205,0.027100713918321803,0.3352807116141142,8.273170074416651,8.266928539846127,1.5594879306502232,1.5452343982831653
20260301_204447_w40_lp0_seed2_rs_drift_p08,rs_drift,0.08,40.0,0,2,6.948031517748712,6.451984722913026,9.048493410995512,0.28992004804238153,0.002210188992011436,0.022148364272360967,0.04146852965889,0.5363859236131856,8.314002615913981,8.308044986532032,1.6039219661643729,1.5892134397032398
20260301_204447_w40_lp0_seed2_rs_drift_p10,rs_drift,0.1,40.0,0,2,6.9541355813932295,6.461357631385972,9.05092752918528,0.4528810310369744,0.003329663294375259,0.0266056222901956,0.05120355609649301,0.6704859191232871,8.341231624292767,8.335456338693639,1.6335536650779243,1.6185346757260552
20260301_204447_w40_lp0_seed2_rs_drift_p15,rs_drift,0.15,40.0,0,2,6.969488487556904,6.484821821740236,9.057046743187449,1.0188059588364922,0.007177665643471075,0.03823715923524107,0.07560149004543425,1.005797342009324,8.409329572084246,8.403986037576487,1.7076639285638662,1.6918443481489513
20260301_204447_w40_lp0_seed2_rs_drift_p20,rs_drift,0.2,40.0,0,2,6.984975051975299,6.508331874984455,9.063215247944104,1.811250686335464,0.012492789479166422,0.05018891692682022,0.09986922497385851,1.3411778021039185,8.477463573642085,8.472517555310016,1.781817846335091,1.765163456974848
20260301_204447_w40_lp0_seed2_rs_drift_p30,rs_drift,0.3,40.0,0,2,7.016354953746137,6.555490903101167,9.07570442813098,4.0760027216984245,0.027377859093491042,0.07448135143070934,0.14775109942923004,2.0121194951107984,8.613838553310957,8.609585731522719,1.9302546464946952,1.9118301444620904
20260301_204447_w40_lp0_seed2_rs_drift_p40,rs_drift,0.4,40.0,0,2,7.04828677127016,6.60283741004721,9.088403957231716,7.247756733885204,0.04771800947315188,0.09903902313458059,0.1947030594769889,2.6832887888581896,8.750354528918447,8.746660248519778,2.0788621508694565,2.0585350484202407
20260301_204447_w40_lp0_seed2_ld_mismatch_m20,ld_mismatch,-0.2,40.0,0,2,6.923824940733171,6.414565523588255,9.038832836241333,0.0002983551021165812,0.000199829122158361,0.01005909396710436,0.009931956036920707,0.009926025385733213,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed2_ld_mismatch_m10,ld_mismatch,-0.1,40.0,0,2,6.923824940733171,6.414565523588255,9.038832836241333,0.0002983551021165812,0.000199829122158361,0.01005909396710436,0.009931956036920707,0.009926025385733213,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed2_ld_mismatch_m05,ld_mismatch,-0.05,40.0,0,2,6.923824940733171,6.414565523588255,9.038832836241333,0.0002983551021165812,0.000199829122158361,0.01005909396710436,0.009931956036920707,0.009926025385733213,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed2_ld_mismatch_p05,ld_mismatch,0.05,40.0,0,2,6.923824940733171,6.414565523588255,9.038832836241333,0.0002983551021165812,0.000199829122158361,0.01005909396710436,0.009931956036920707,0.009926025385733213,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed2_ld_mismatch_p10,ld_mismatch,0.1,40.0,0,2,6.923824940733171,6.414565523588255,9.038832836241333,0.0002983551021165812,0.000199829122158361,0.01005909396710436,0.009931956036920707,0.009926025385733213,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed2_ld_mismatch_p20,ld_mismatch,0.2,40.0,0,2,6.923824940733171,6.414565523588255,9.038832836241333,0.0002983551021165812,0.000199829122158361,0.01005909396710436,0.009931956036920707,0.009926025385733213,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp1_seed0_healthy_r0,healthy,0.0,40.0,1,0,6.601478558443376,6.421780554781868,7.772671904000092,0.00030087305024487234,0.00020122879765109385,0.01002418497133003,0.01003715663480724,0.009982196781960297,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed0_healthy_r1,healthy,0.0,40.0,1,0,6.601358733204613,6.4216251447441985,7.776908973866021,0.0002965575254785894,0.00019678739416127323,0.00983892623643379,0.009999146197315449,0.00998849995331212,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed0_healthy_r2,healthy,0.0,40.0,1,0,6.6013589780791495,6.421649317124392,7.768378073781861,0.00029591595153927815,0.00019559356834200975,0.009869420889431523,0.009908990849186531,0.010016106189396573,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed0_rs_drift_p02,rs_drift,0.02,40.0,1,0,6.608461109966777,6.429698236381238,7.778581638951998,0.014062589704477272,0.00027779941883811264,0.010693007286007847,0.01278510907342975,0.1174086465539875,8.022792159004315,8.020394173924936,1.3082593896722214,1.2990178850598904
20260301_204447_w40_lp1_seed0_rs_drift_p05,rs_drift,0.05,40.0,1,0,6.618982270532863,6.441588089246928,7.787488995748532,0.08622060520116592,0.0006842519684203648,0.013754599867153307,0.022250010132916144,0.2924659864544005,8.05828441154527,8.055988534789552,1.346709640265413,1.3370261714743699
20260301_204447_w40_lp1_seed0_rs_drift_p08,rs_drift,0.08,40.0,1,0,6.629560068307994,6.453494009316291,7.796448222819961,0.22024245019728741,0.0014369564705357446,0.018140425241982585,0.033284853050235715,0.4677664948740468,8.093786294379731,8.091585353282257,1.3851789150885652,1.3750397973975517
20260301_204447_w40_lp1_seed0_rs_drift_p10,rs_drift,0.1,40.0,1,0,6.6366433087616326,6.461440255012407,7.802699863456041,0.3439843450758221,0.0021291739214072437,0.021413983872086786,0.040873160094776755,0.5846838215261432,8.117459605798766,8.115317928882375,1.4108355983426701,1.4003851898515653
20260301_204447_w40_lp1_seed0_rs_drift_p15,rs_drift,0.15,40.0,1,0,6.654460833098444,6.48133742252238,7.820326560222881,0.7738285071258387,0.004518114429348784,0.030157971812344257,0.060071716851731766,0.8771034104918815,8.17666192140757,8.174654130275016,1.475013824945221,1.4637591222286834
20260301_204447_w40_lp1_seed0_rs_drift_p20,rs_drift,0.2,40.0,1,0,6.672434012178066,6.501279965525832,7.8381240035700515,1.3759899500407706,0.00783467224571036,0.039281402990412426,0.07931988164902401,1.1696816993503234,8.235891732727541,8.233997119511034,1.5392439372238849,1.5271480497741927
20260301_204447_w40_lp1_seed0_rs_drift_p30,rs_drift,0.3,40.0,1,0,6.708844043125732,6.541302689204362,7.874245041328173,3.0982129984150952,0.017191560066499686,0.05798523009817949,0.11759793007090247,1.7552838626127103,8.354435350538198,8.352703382317587,1.6678590378876503,1.6539712099504569
20260301_204447_w40_lp1_seed0_rs_drift_p40,rs_drift,0.4,40.0,1,0,6.745866868710474,6.581511479900352,7.911091560635448,5.512549134400046,0.030093031363826076,0.07698098218210041,0.15545726019104164,2.3414645209860043,8.473093477346282,8.47143655322407,1.796680371137556,1.7808552979409638
20260301_204447_w40_lp1_seed0_ld_mismatch_m20,ld_mismatch,-0.2,40.0,1,0,6.601478558443376,6.421780554781868,7.772671904000092,0.00030087305024487234,0.00020122879765109385,0.01002418497133003,0.01003715663480724,0.009982196781960297,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed0_ld_mismatch_m10,ld_mismatch,-0.1,40.0,1,0,6.601478558443376,6.421780554781868,7.772671904000092,0.00030087305024487234,0.00020122879765109385,0.01002418497133003,0.01003715663480724,0.009982196781960297,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed0_ld_mismatch_m05,ld_mismatch,-0.05,40.0,1,0,6.601478558443376,6.421780554781868,7.772671904000092,0.00030087305024487234,0.00020122879765109385,0.01002418497133003,0.01003715663480724,0.009982196781960297,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed0_ld_mismatch_p05,ld_mismatch,0.05,40.0,1,0,6.601478558443376,6.421780554781868,7.772671904000092,0.00030087305024487234,0.00020122879765109385,0.01002418497133003,0.01003715663480724,0.009982196781960297,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed0_ld_mismatch_p10,ld_mismatch,0.1,40.0,1,0,6.601478558443376,6.421780554781868,7.772671904000092,0.00030087305024487234,0.00020122879765109385,0.01002418497133003,0.01003715663480724,0.009982196781960297,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed0_ld_mismatch_p20,ld_mismatch,0.2,40.0,1,0,6.601478558443376,6.421780554781868,7.772671904000092,0.00030087305024487234,0.00020122879765109385,0.01002418497133003,0.01003715663480724,0.009982196781960297,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed1_healthy_r0,healthy,0.0,40.0,1,1,6.601344500789087,6.421556626488446,7.770741695551187,0.000302443897601022,0.00020119147186952043,0.010068445284592773,0.009990889921357453,0.010062426433594512,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed1_healthy_r1,healthy,0.0,40.0,1,1,6.601388344407555,6.421648684361967,7.770233679960462,0.00029918837596215305,0.00019947406034455717,0.010056144627987929,0.009917056799552312,0.009985705564335248,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed1_healthy_r2,healthy,0.0,40.0,1,1,6.601385128976882,6.421667960067281,7.7729768991555375,0.0003026969357411837,0.0002002875816315389,0.009952731689825084,0.01006134750129874,0.010119750694046015,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed1_rs_drift_p02,rs_drift,0.02,40.0,1,1,6.608326914652432,6.429474308087816,7.7775454786182365,0.014034175261507085,0.0002787320087795546,0.010751884466404594,0.012772195942775158,0.11728360180659327,8.022792159004315,8.020394173924936,1.3082593896722214,1.2990178850598904
20260301_204447_w40_lp1_seed1_rs_drift_p05,rs_drift,0.05,40.0,1,1,6.618847873761559,6.441364160953505,7.78779928450097,0.08614729630458969,0.0006865776495269125,0.01382015815011103,0.022261645901254293,0.29233665294496136,8.05828441154527,8.055988534789552,1.346709640265413,1.3370261714743699
20260301_204447_w40_lp1_seed1_rs_drift_p08,rs_drift,0.08,40.0,1,1,6.6294254760731555,6.453270081022868,7.798111463613516,0.22012434688152008,0.0014406026414819461,0.018204690888246028,0.03330453229134674,0.46763633759582673,8.093786294379731,8.091585353282257,1.3851789150885652,1.3750397973975517
20260301_204447_w40_lp1_seed1_rs_drift_p10,rs_drift,0.1,40.0,1,1,6.636508589521383,6.461216326718984,7.80501902565593,0.3438364343356375,0.0021336609627408114,0.02147643502162876,0.04089527725181197,0.5845534820466786,8.117459605798766,8.115317928882375,1.4108355983426701,1.4003851898515653
20260301_204447_w40_lp1_seed1_rs_drift_p15,rs_drift,0.15,40.0,1,1,6.654325807791672,6.481113494228957,7.822404186899298,0.7736062720515607,0.004524569500928897,0.030216025962835156,0.06009626673880974,0.8769730341068828,8.17666192140757,8.174654130275016,1.475013824945221,1.4637591222286834
20260301_204447_w40_lp1_seed1_rs_drift_p20,rs_drift,0.2,40.0,1,1,6.672298696956978,6.501056037232409,7.839958117655819,1.3756936681470386,0.007842910648537153,0.039335972556985246,0.07934476612564471,1.1695515198136857,8.235891732727541,8.233997119511034,1.5392439372238849,1.5271480497741927
20260301_204447_w40_lp1_seed1_rs_drift_p30,rs_drift,0.3,40.0,1,1,6.708708195517349,6.541078760910941,7.875586086970756,3.0977694568475034,0.01720284646456649,0.058034779745627464,0.11762147254835317,1.755154298169519,8.354435350538198,8.352703382317587,1.6678590378876503,1.6539712099504569
20260301_204447_w40_lp1_seed1_rs_drift_p40,rs_drift,0.4,40.0,1,1,6.745730550264633,6.581287551606928,7.911931298828108,5.511959449134261,0.03010673380296827,0.07702693815233567,0.15547856637441868,2.3413356690853395,8.473093477346282,8.47143655322407,1.796680371137556,1.7808552979409638
20260301_204447_w40_lp1_seed1_ld_mismatch_m20,ld_mismatch,-0.2,40.0,1,1,6.601344500789087,6.421556626488446,7.770741695551187,0.000302443897601022,0.00020119147186952043,0.010068445284592773,0.009990889921357453,0.010062426433594512,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed1_ld_mismatch_m10,ld_mismatch,-0.1,40.0,1,1,6.601344500789087,6.421556626488446,7.770741695551187,0.000302443897601022,0.00020119147186952043,0.010068445284592773,0.009990889921357453,0.010062426433594512,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed1_ld_mismatch_m05,ld_mismatch,-0.05,40.0,1,1,6.601344500789087,6.421556626488446,7.770741695551187,0.000302443897601022,0.00020119147186952043,0.010068445284592773,0.009990889921357453,0.010062426433594512,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed1_ld_mismatch_p05,ld_mismatch,0.05,40.0,1,1,6.601344500789087,6.421556626488446,7.770741695551187,0.000302443897601022,0.00020119147186952043,0.010068445284592773,0.009990889921357453,0.010062426433594512,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed1_ld_mismatch_p10,ld_mismatch,0.1,40.0,1,1,6.601344500789087,6.421556626488446,7.770741695551187,0.000302443897601022,0.00020119147186952043,0.010068445284592773,0.009990889921357453,0.010062426433594512,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed1_ld_mismatch_p20,ld_mismatch,0.2,40.0,1,1,6.601344500789087,6.421556626488446,7.770741695551187,0.000302443897601022,0.00020119147186952043,0.010068445284592773,0.009990889921357453,0.010062426433594512,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed2_healthy_r0,healthy,0.0,40.0,1,2,6.601266226933333,6.421525907453941,7.768122591149407,0.00029835510211658107,0.000199829122158361,0.01005909396710436,0.009931956036920707,0.009926025385733209,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed2_healthy_r1,healthy,0.0,40.0,1,2,6.601306337207978,6.421567367105478,7.777669393673449,0.00029855877769950086,0.00019887984432799156,0.009989484164300731,0.009954398548339146,0.009983933762375894,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed2_healthy_r2,healthy,0.0,40.0,1,2,6.6014568859079645,6.421753170199452,7.770244343334511,0.00030177319921998857,0.0002010888804916344,0.010051899093753982,0.010002409964634636,0.010034157599338086,7.9991359684336665,7.9966659674547165,1.2826365418643484,1.2736819850221335
20260301_204447_w40_lp1_seed2_rs_drift_p02,rs_drift,0.02,40.0,1,2,6.608248735569425,6.429443589053311,7.774321886687879,0.014009630843556928,0.0002771307791357627,0.01080781260058649,0.012661831065306732,0.11718575026180089,8.022792159004315,8.020394173924936,1.3082593896722214,1.2990178850598904
20260301_204447_w40_lp1_seed2_rs_drift_p05,rs_drift,0.05,40.0,1,2,6.61876983516453,6.441333441918999,7.784059713754672,0.08609203556255234,0.0006846408497903912,0.013939428479410406,0.02214346818946376,0.2922454357432498,8.05828441154527,8.055988534789552,1.346709640265413,1.3370261714743699
20260301_204447_w40_lp1_seed2_rs_drift_p08,rs_drift,0.08,40.0,1,2,6.629347575993358,6.453239361988363,7.794934614774867,0.22003833145563959,0.001438357952450921,0.018353306847542883,0.03318906567245992,0.46754676076643786,8.093786294379731,8.091585353282257,1.3851789150885652,1.3750397973975517
